x,y,z,cluster
0.269278984,0.132878552,-0.165158906,#d62728
-0.022003395,0.105775018,-0.123697526,#d62728
-0.341198029,-0.112421544,-0.283814581,#d62728
-0.285910745,0.060980419,-0.027926356,#d62728
-0.54386203,-0.294350852,0.252368663,#d62728
0.372195582,0.432615962,-0.010584718,#d62728
-0.402999376,-0.096126368,0.14528921,#d62728
-0.29578041,-0.040817886,0.166735269,#d62728
-0.387935704,-0.245870118,0.223756223,#d62728
-0.090841574,-0.090490095,-0.294923983,#d62728
0.624992641,-0.406533783,-0.000911732,#1f77b4
-0.392880942,-0.101078895,0.071752476,#d62728
-0.080998515,0.090055556,0.046528454,#d62728
-0.152560919,0.022683603,-0.014058349,#d62728
0.064493167,0.178597594,-0.042124838,#d62728
0.25148344,0.399859987,-0.058448791,#d62728
-0.045880027,0.22282096,0.019299453,#d62728
-0.257819214,-0.125701163,0.111800534,#d62728
0.102205064,0.134894908,-0.073855773,#d62728
-0.056909231,0.214428629,-0.0286083,#d62728
-0.165404526,0.03859927,-0.191950676,#d62728
0.674286074,-0.324262756,0.008371795,#1f77b4
-0.310010499,-0.201034286,-0.233790544,#d62728
-0.446365775,-0.232200561,0.361718646,#d62728
-0.092973,-0.064750134,-0.214408811,#d62728
0.753590512,-0.119828866,0.121137037,#1f77b4
0.048009688,0.106214098,-0.183599051,#d62728
-0.262921334,-0.218266411,0.052079049,#d62728
0.68565639,-0.322809254,-0.040766889,#1f77b4
-0.051388731,0.101916441,-0.247684651,#d62728
-0.44673407,-0.243618619,-0.024966165,#d62728
-0.085552988,-0.061096615,-0.161032955,#d62728
-0.209166311,-0.001366813,0.048639669,#d62728
-0.664100646,-0.404246689,0.118756267,#d62728
-0.289366272,-0.222107826,0.245060345,#d62728
-0.194931631,-0.104262581,-0.05833183,#d62728
-0.403030515,-0.148683764,0.098184319,#d62728
0.678384885,-0.29666151,0.053103631,#1f77b4
0.111665287,0.068705098,-0.235377258,#d62728
-0.272605904,-0.159031676,-0.26302018,#d62728
0.60497835,-0.459290356,-0.054280312,#1f77b4
-0.30728977,-0.059769905,0.144630127,#d62728
-0.345254038,-0.175748382,0.145441867,#d62728
-0.245753136,-0.089723247,0.119726716,#d62728
0.034240273,0.236542445,-0.196306883,#d62728
-0.072921698,0.197665683,0.158701422,#d62728
-0.072890379,-0.018329571,-0.342719099,#d62728
-0.251207302,-0.035611325,-0.019517429,#d62728
-0.278188894,-0.140998045,-0.074206011,#d62728
0.233008945,0.05952174,0.055733401,#d62728
0.142511916,0.508910543,-0.133528816,#d62728
0.751964455,-0.11063844,0.172533789,#1f77b4
0.048887246,0.179118008,0.10877782,#d62728
0.183987754,0.461011932,-0.11272143,#d62728
0.899696889,0.124794453,0.214834441,#1f77b4
-0.206120975,-0.093292234,-0.17857007,#d62728
-0.358816068,-0.151752771,-0.151911086,#d62728
-0.009848428,0.261657475,0.414810434,#d62728
0.679625746,-0.285944778,0.063921517,#1f77b4
-0.097545437,0.152658315,0.307232318,#d62728
0.146133801,0.095755922,-0.025819774,#d62728
0.056359049,0.088256865,-0.207217909,#d62728
-0.04578722,0.202614744,0.268855236,#d62728
-0.58684375,-0.245980569,0.105390764,#d62728
0.086487281,0.240626883,0.265269311,#d62728
-0.422359071,-0.080614557,-0.042744472,#d62728
-0.246296684,-0.090087378,-0.288799003,#d62728
-0.030425503,0.138426422,-0.186815203,#d62728
-0.212252328,-0.071902005,-0.179629538,#d62728
-0.303819838,-0.434204692,0.141410039,#d62728
0.122879567,0.31072478,-0.054369724,#d62728
-0.361974323,-0.156214481,-0.062641984,#d62728
0.638153547,-0.306517161,0.078147027,#1f77b4
-0.558542161,-0.177247712,0.141372501,#d62728
-0.420427846,-0.209532886,0.233272726,#d62728
-0.150274944,-0.156203708,-0.254140081,#d62728
-0.330944561,0.147075352,0.152320594,#d62728
-0.44661864,-0.348976319,0.046307579,#d62728
-0.006143325,0.193322648,0.03039913,#d62728
-0.626011026,-0.412269548,0.243404477,#d62728
-0.256137066,-0.006264534,0.163822554,#d62728
0.237496609,0.474982063,-0.114758489,#d62728
-0.035640609,0.290400796,0.018826466,#d62728
-0.016156034,-0.037948063,-0.136870037,#d62728
-0.37069853,-0.224836591,0.079893859,#d62728
-0.251293934,-0.058589287,-0.005340113,#d62728
0.040855244,0.128548638,-0.252870021,#d62728
-0.016246306,0.253981824,-0.07577541,#d62728
-0.226773855,-0.118196267,-0.283689063,#d62728
0.757904069,-0.120201009,0.114301644,#1f77b4
0.053503809,0.320601291,0.156109658,#d62728
-0.353068429,-0.220948851,0.048507289,#d62728
0.126691389,0.453445002,0.287611351,#d62728
0.306705883,0.404099226,-0.038605498,#d62728
0.116320412,0.065839289,-0.309819398,#d62728
-0.143942696,-0.243435647,-0.109204446,#d62728
0.049001889,0.40270336,0.514944127,#d62728
-0.295374878,-0.142825787,0.10412898,#d62728
-0.398201545,-0.116379923,-0.09998036,#d62728
-0.272315089,0.111036579,0.339711032,#d62728
-0.198285719,0.032560401,-0.035091969,#d62728
0.129618308,0.400619324,0.279362007,#d62728
0.693157635,-0.228389471,0.107250856,#1f77b4
0.084113864,0.18505173,-0.16913589,#d62728
-0.233285403,0.196551376,0.083617914,#d62728
-0.031619429,-0.104609161,-0.243298835,#d62728
-0.439956725,-0.244531701,0.177625111,#d62728
0.124248441,0.576409908,0.160700164,#d62728
-0.193066494,0.309854812,0.21288002,#d62728
0.028894309,0.442935777,0.42094998,#d62728
0.622816926,-0.250542511,0.215233545,#1f77b4
-0.16362579,0.111556898,-0.195707891,#d62728
-0.381269804,-0.270441397,-0.021877941,#d62728
-0.093509447,-0.051886672,-0.22384921,#d62728
0.059573435,0.087813928,0.009212819,#d62728
-0.271311325,-0.081829654,0.397127302,#d62728
-0.11818411,0.019572105,-0.205634844,#d62728
0.61544654,-0.414113045,0.009110385,#1f77b4
-0.524739594,-0.187747499,0.017965708,#d62728
0.147050255,0.530210763,-0.037391989,#d62728
0.101265694,0.099271283,-0.277490544,#d62728
0.6065101,-0.391005968,0.039639007,#1f77b4
-0.145866447,-0.098108483,-0.227474295,#d62728
-0.128371458,-0.084942843,0.135947851,#d62728
-0.293400126,-0.07410847,-0.179474966,#d62728
-0.142675265,0.119961141,-0.106504658,#d62728
0.369825977,0.308779692,0.450121202,#1f77b4
